      1 gu
      1 hy
      1 ml
      1 pa
      3 bn
      3 kn
      3 sd
      3 ta
      5 am
      7 sr
     10 bg
     13 mr
     15 te
     16 ne
     16 uk
     21 si
     51 el
     53 vi
     76 iw
    101 sl
    122 ur
    148 th
    153 is
    173 cs
    178 ko
    190 lv
    194 hu
    247 fa
    249 ro
    254 lt
    286 eu
    333 ru
    353 hi
    370 zh
    463 fi
    482 ca
    517 da
    543 sv
    564 no
    679 pl
    727 tr
    944 nl
   1075 cy
   1107 et
   1318 it
   1391 de
   1425 ja
   1992 ar
   2684 in
   2905 fr
   3560 tl
   3594 ht
   4301 pt
  21959 es
 106844 und
 803051 en
