      1 pa
      1 ug
      2 gu
      2 kn
      3 ta
      4 ps
      5 am
      7 bg
      7 sr
      7 te
     12 uk
     14 mr
     17 ne
     19 el
     43 si
     54 vi
    123 ur
    143 th
    150 iw
    210 hu
    219 ko
    232 sl
    233 ro
    241 fa
    245 is
    259 lt
    286 lv
    298 eu
    299 ru
    376 hi
    414 fi
    416 zh
    533 ca
    569 cs
    632 no
    635 da
    742 pl
    809 tr
    898 sv
   1062 nl
   1183 et
   1221 it
   1357 cy
   1383 ja
   1412 de
   2022 ar
   2989 in
   3044 fr
   3751 tl
   4588 pt
   4623 ht
  21779 es
 116347 und
 898604 en
