      1 km
      1 my
      2 hy
      3 pa
      4 bg
      4 bn
      4 ps
      7 sr
      7 te
      9 ne
     10 ta
     17 am
     17 mr
     28 el
     28 si
     37 uk
     63 vi
     86 sl
    148 iw
    151 th
    156 ur
    164 is
    168 fa
    188 lv
    199 ko
    244 hu
    253 lt
    284 cs
    285 zh
    290 ro
    295 eu
    329 hi
    381 ru
    485 fi
    526 ca
    531 no
    548 da
    566 pl
    617 sv
    827 nl
    876 cy
   1037 et
   1080 tr
   1265 it
   1331 de
   1506 ja
   2058 ar
   2935 fr
   3003 in
   3489 tl
   3984 ht
   4772 pt
  24333 es
 109336 und
 814771 en
