      1 hy
      1 ps
      2 gu
      2 my
      2 sd
      3 bn
      8 bg
     10 am
     16 ta
     16 te
     17 sr
     22 uk
     24 ne
     25 mr
     32 el
     35 si
     45 vi
     89 sl
    132 th
    158 iw
    166 fa
    170 is
    190 lv
    213 hu
    216 ur
    217 ko
    253 lt
    260 cs
    282 eu
    282 ro
    350 hi
    351 zh
    373 ru
    437 fi
    496 da
    518 sv
    535 no
    550 ca
    642 pl
    805 nl
    810 tr
   1010 cy
   1067 et
   1199 de
   1290 it
   1345 ja
   2124 ar
   2442 in
   2881 fr
   3282 tl
   3587 ht
   4683 pt
  27013 es
 106153 und
 790891 en
