      1 bg
      1 gu
      1 ka
      1 sd
      2 bn
      2 my
      2 ta
      3 ps
      5 am
      5 te
      7 sr
     12 mr
     17 ne
     22 el
     32 uk
     36 si
     63 vi
     88 sl
    101 ur
    152 is
    162 th
    168 iw
    174 lv
    189 ko
    218 fa
    221 cs
    243 hu
    282 eu
    289 ro
    290 zh
    296 lt
    360 hi
    467 no
    477 ru
    479 fi
    514 ca
    524 sv
    529 da
    679 pl
    826 nl
   1019 tr
   1102 et
   1227 it
   1282 cy
   1300 de
   1496 ja
   2055 ar
   2654 in
   3218 fr
   3455 tl
   3738 ht
   4803 pt
  23742 es
 110105 und
 813485 en
