      1 bn
      1 gu
      1 hy
      1 sd
      1 si
      2 ml
      2 te
      3 bg
      4 ta
      5 sr
      6 am
      6 ps
      9 mr
     17 ne
     17 uk
     22 el
     55 vi
    116 fa
    116 sl
    134 is
    159 lv
    167 iw
    198 lt
    199 th
    216 ur
    223 hu
    231 ko
    242 cs
    247 ro
    264 eu
    306 ru
    321 zh
    332 hi
    433 ca
    447 fi
    455 sv
    474 da
    513 pl
    569 no
    760 nl
    854 tr
   1016 et
   1091 it
   1206 de
   1320 cy
   1548 ja
   1828 ar
   2437 in
   2705 fr
   3192 tl
   3503 ht
   4362 pt
  21335 es
 100505 und
 771426 en
