      1 sd
      2 bn
      2 bo
      3 ps
      4 ne
      4 ta
      5 hy
      5 sr
      6 am
      7 te
      9 bg
     10 uk
     23 el
     23 mr
     47 vi
     56 si
    131 ur
    134 th
    138 sl
    166 iw
    172 is
    177 fa
    177 lv
    208 hu
    214 cs
    221 lt
    230 ko
    257 ro
    265 eu
    328 hi
    412 zh
    416 ru
    448 fi
    526 sv
    547 ca
    548 da
    551 no
    628 pl
    817 nl
    910 tr
    969 et
    995 cy
   1193 de
   1267 it
   1364 ja
   2017 ar
   2643 in
   2904 fr
   3346 tl
   3550 ht
   4759 pt
  24038 es
 104019 und
 788954 en
